Country,Region,Country_ISO3
Saint Lucia ,Caribbean,LCA
Pierre Miquelon ,North America,SPM
Saint Vincent Grenadines ,Caribbean,VCT
Samoa ,Oceania,WSM
San Marino ,Europe,SMR
Sao Tome Principe ,Middle Africa,STP
Saudi Arabia ,Middle East,SAU
Senegal ,West Africa,SEN
Serbia ,Europe,SRB
Seychelles ,East Africa,SYC
Sierra Leone ,West Africa,SLE
Singapore ,Asia,SGP
Slovakia ,Europe,SVK
Slovenia ,Europe,SVN
Solomon Islands ,Oceania,SLB
Somalia ,East Africa,SOM
South Africa ,South Africa,ZAF
Spain ,Europe,ESP
Sri Lanka ,Asia,LKA
Sudan ,North Africa,SDN
Suriname ,South America,SUR
Swaziland ,South Africa,SWZ
Sweden ,Europe,SWE
Switzerland ,Europe,CHE
Syria ,Middle East,SYR
Taiwan ,Asia,TWN
Tajikistan ,Asia,TJK
Tanzania ,East Africa,TZA
Thailand ,Asia,THA
Togo ,West Africa,TGO
Tonga ,Oceania,TON
Trinidad Tobago ,Caribbean,TTO
Tunisia ,North Africa,TUN
Turkey ,Europe,TUR
Turkmenistan ,Asia,TKM
Turks Caicos  ,Caribbean,TCA
Tuvalu ,Oceania,TUV
Uganda ,East Africa,UGA
Ukraine ,Europe,UKR
United Arab Emirates ,Middle East,ARE
United Kingdom ,Europe,GBR
United States ,North America,USA
Uruguay ,South America,URY
Uzbekistan ,Asia,UZB
Vanuatu ,Oceania,VUT
Venezuela ,South America,VEN
Vietnam ,Asia,VNM
Virgin Islands ,Caribbean,VIR
Wallis Futuna ,Oceania,WLF
Western Sahara ,North Africa,ESH
Yemen ,Middle East,YEM
Zambia ,East Africa,ZMB
Zimbabwe ,East Africa,ZWE
